cod_ibge,ano,homicidios
314410,2010,0
310850,2010,0
314420,2010,0
310840,2010,0
314430,2010,13
310830,2010,1
314435,2010,2
310825,2010,0
314437,2010,0
314440,2010,0
310820,2010,0
314450,2010,1
310810,2010,0
314460,2010,1
310800,2010,1
314465,2010,0
310790,2010,2
314467,2010,1
310780,2010,2
314470,2010,3
314480,2010,8
310770,2010,0
314490,2010,0
310760,2010,1
314500,2010,3
310750,2010,1
314505,2010,2
310740,2010,3
314510,2010,1
310730,2010,7
314520,2010,17
314530,2010,5
310720,2010,0
314535,2010,6
310710,2010,4
314537,2010,0
310700,2010,0
314540,2010,0
310690,2010,1
314545,2010,0
310680,2010,0
314560,2010,1
310670,2010,223
314570,2010,0
314580,2010,0
310660,2010,1
314585,2010,0
310650,2010,0
314587,2010,1
310640,2010,0
314590,2010,4
310630,2010,2
314600,2010,2
310620,2010,724
314610,2010,5
314620,2010,2
310610,2010,0
314625,2010,2
310600,2010,0
314630,2010,4
310590,2010,2
314640,2010,1
310570,2010,0
314650,2010,1
314655,2010,0
310560,2010,5
314660,2010,0
310550,2010,0
314670,2010,0
310540,2010,3
314675,2010,0
310530,2010,0
314690,2010,4
310520,2010,1
314700,2010,25
310510,2010,2
314710,2010,7
314720,2010,0
310500,2010,2
314730,2010,0
310490,2010,0
314740,2010,5
310480,2010,0
314750,2010,0
310470,2010,2
314760,2010,0
310460,2010,1
314770,2010,1
314780,2010,0
310450,2010,4
314790,2010,5
310445,2010,1
314795,2010,0
310440,2010,0
314800,2010,24
310430,2010,1
314810,2010,28
310420,2010,4
314820,2010,0
314830,2010,3
310410,2010,1
314840,2010,0
310400,2010,6
314850,2010,4
310390,2010,1
314860,2010,5
310380,2010,0
314870,2010,6
310375,2010,0
314875,2010,2
314880,2010,1
310370,2010,0
314890,2010,0
310360,2010,0
314900,2010,1
310350,2010,23
314910,2010,0
310340,2010,1
314915,2010,1
310330,2010,0
314930,2010,10
310320,2010,0
314940,2010,0
310300,2010,0
314960,2010,0
314970,2010,1
310290,2010,0
314980,2010,1
310285,2010,4
314990,2010,1
310280,2010,1
314995,2010,1
310270,2010,1
315000,2010,1
310260,2010,3
315010,2010,0
315015,2010,1
310250,2010,1
315020,2010,1
310240,2010,2
315030,2010,1
310230,2010,1
315040,2010,0
310220,2010,1
315050,2010,0
315053,2010,0
310210,2010,0
315057,2010,0
310205,2010,0
315060,2010,0
310200,2010,0
315070,2010,2
310190,2010,2
315080,2010,3
310180,2010,1
315090,2010,0
310170,2010,3
315100,2010,0
315110,2010,0
310163,2010,0
315120,2010,2
310160,2010,8
315130,2010,0
310150,2010,0
315140,2010,1
310140,2010,0
315150,2010,4
310130,2010,0
315160,2010,1
315170,2010,1
310120,2010,0
315180,2010,10
310110,2010,5
315190,2010,3
310100,2010,1
315200,2010,8
310090,2010,4
315210,2010,8
310080,2010,1
315217,2010,2
315220,2010,1
310070,2010,0
315230,2010,1
310060,2010,0
315240,2010,7
310050,2010,4
315250,2010,4
310040,2010,0
315260,2010,0
310030,2010,1
315270,2010,0
315280,2010,4
310020,2010,1
315290,2010,1
310010,2010,1
293360,2010,6
315310,2010,0
315320,2010,0
293350,2010,5
315330,2010,0
293345,2010,0
315340,2010,0
293340,2010,0
315350,2010,1
293330,2010,251
315360,2010,0
293325,2010,1
315370,2010,0
315380,2010,0
293320,2010,24
315390,2010,2
293317,2010,1
315400,2010,4
293315,2010,2
315410,2010,0
293310,2010,2
315415,2010,0
293305,2010,2
315420,2010,0
293300,2010,2
315430,2010,4
315440,2010,0
293290,2010,78
315445,2010,1
293280,2010,2
315450,2010,0
293270,2010,13
315460,2010,120
293260,2010,1
315470,2010,1
293250,2010,8
315480,2010,1
315490,2010,2
293245,2010,0
315500,2010,0
293240,2010,5
315510,2010,0
293230,2010,9
315520,2010,0
293220,2010,11
315530,2010,0
293210,2010,0
315540,2010,3
315550,2010,2
293200,2010,5
315560,2010,2
293190,2010,3
315570,2010,2
293180,2010,2
315580,2010,4
293170,2010,4
315590,2010,1
293160,2010,3
315600,2010,3
315610,2010,0
293150,2010,1
293140,2010,2
315630,2010,1
315640,2010,0
293135,2010,105
315645,2010,0
293130,2010,4
315650,2010,1
293120,2010,2
315660,2010,2
293110,2010,1
315670,2010,31
293105,2010,0
315680,2010,2
315690,2010,5
293100,2010,2
315700,2010,6
293090,2010,0
315710,2010,0
293080,2010,1
315720,2010,4
293077,2010,8
315725,2010,3
293076,2010,2
315727,2010,1
315730,2010,0
293075,2010,1
315733,2010,2
293070,2010,117
315737,2010,1
293060,2010,3
315740,2010,0
293050,2010,13
315750,2010,1
293040,2010,2
315760,2010,0
315765,2010,2
293030,2010,3
315770,2010,3
293020,2010,3
315780,2010,82
293015,2010,2
315790,2010,3
293010,2010,12
315800,2010,0
293000,2010,0
315810,2010,2
315820,2010,0
292990,2010,1
315830,2010,0
292980,2010,1
315840,2010,0
292975,2010,1
315850,2010,0
292970,2010,5
315860,2010,0
292960,2010,4
315880,2010,0
292950,2010,15
315890,2010,1
292940,2010,2
315895,2010,5
315900,2010,0
292937,2010,0
315910,2010,0
292935,2010,6
315920,2010,0
292930,2010,7
315930,2010,0
292925,2010,3
315935,2010,1
292920,2010,8
315940,2010,0
292910,2010,3
315950,2010,1
315960,2010,1
292905,2010,4
315970,2010,0
292900,2010,2
315980,2010,1
292895,2010,0
315990,2010,1
292890,2010,0
316000,2010,0
292880,2010,12
316010,2010,0
316020,2010,1
292870,2010,43
316030,2010,0
292860,2010,19
316040,2010,1
292850,2010,1
316045,2010,2
292840,2010,0
316060,2010,0
292830,2010,1
316070,2010,1
292820,2010,3
316080,2010,0
292810,2010,9
316090,2010,0
316095,2010,0
292805,2010,11
316100,2010,2
292800,2010,4
316105,2010,1
292790,2010,1
316110,2010,4
292780,2010,0
316120,2010,1
292770,2010,9
316130,2010,0
316140,2010,0
292760,2010,4
316150,2010,2
292750,2010,3
316160,2010,2
292740,2010,1913
316165,2010,3
292730,2010,3
316170,2010,2
292720,2010,3
316180,2010,2
316190,2010,2
292710,2010,1
316200,2010,3
292700,2010,18
316210,2010,3
292690,2010,0
316220,2010,0
292680,2010,0
316225,2010,0
292670,2010,1
316240,2010,1
292665,2010,1
316245,2010,4
292660,2010,7
316250,2010,11
316255,2010,2
292650,2010,0
316257,2010,2
292640,2010,3
316260,2010,0
292630,2010,5
316265,2010,0
292620,2010,0
316270,2010,1
292610,2010,0
316280,2010,1
316290,2010,0
292600,2010,7
316292,2010,4
292595,2010,2
316294,2010,0
292593,2010,2
316295,2010,5
292590,2010,0
316300,2010,0
292580,2010,4
316310,2010,0
316320,2010,0
292575,2010,7
316330,2010,0
292570,2010,1
316340,2010,1
292560,2010,5
316350,2010,0
292550,2010,12
316360,2010,0
292540,2010,2
316370,2010,1
316380,2010,1
292530,2010,137
316390,2010,0
292525,2010,2
316400,2010,1
292520,2010,11
316410,2010,0
292510,2010,7
316420,2010,0
292500,2010,1
316430,2010,0
316440,2010,1
292490,2010,1
316443,2010,0
292480,2010,1
316447,2010,0
292470,2010,0
316450,2010,1
292467,2010,2
316460,2010,0
316470,2010,7
292465,2010,2
316480,2010,1
292460,2010,7
316490,2010,0
292450,2010,0
316500,2010,1
292440,2010,2
316510,2010,0
292430,2010,1
316520,2010,1
316530,2010,1
292420,2010,3
316540,2010,0
292410,2010,0
316550,2010,0
292405,2010,0
316553,2010,7
292400,2010,65
316555,2010,3
292390,2010,11
316556,2010,0
316557,2010,0
292380,2010,9
316560,2010,1
292370,2010,2
316570,2010,0
292360,2010,1
316580,2010,0
292350,2010,0
316590,2010,0
292340,2010,4
316600,2010,0
292335,2010,3
316610,2010,0
316620,2010,0
292330,2010,0
316630,2010,2
292320,2010,1
316640,2010,0
292310,2010,8
316650,2010,5
292305,2010,3
316670,2010,2
292303,2010,0
316680,2010,2
292300,2010,23
316690,2010,0
292290,2010,5
316695,2010,0
316700,2010,0
292285,2010,1
316710,2010,2
292280,2010,3
316720,2010,46
292275,2010,1
316730,2010,1
292273,2010,1
316740,2010,1
292270,2010,3
316750,2010,0
316760,2010,0
292265,2010,2
316770,2010,1
292260,2010,0
316780,2010,0
292250,2010,12
316790,2010,0
292240,2010,4
316800,2010,6
292230,2010,4
316805,2010,0
316810,2010,0
292225,2010,0
316820,2010,0
292220,2010,1
316830,2010,0
292210,2010,1
316840,2010,2
292205,2010,1
316850,2010,0
292200,2010,17
316860,2010,23
316870,2010,19
292190,2010,1
316880,2010,1
292180,2010,0
316890,2010,0
292170,2010,4
316900,2010,4
292160,2010,0
316905,2010,0
292150,2010,2
316910,2010,0
316920,2010,2
292145,2010,0
316930,2010,9
292140,2010,2
316935,2010,4
292130,2010,3
316940,2010,1
292120,2010,4
316950,2010,5
292110,2010,12
316960,2010,6
316970,2010,0
292105,2010,0
292100,2010,22
316990,2010,15
317000,2010,0
292090,2010,2
317005,2010,2
292080,2010,2
317010,2010,47
292070,2010,5
317020,2010,139
292060,2010,5
317030,2010,0
292050,2010,1
317040,2010,22
317043,2010,0
292040,2010,1
317047,2010,0
292030,2010,0
317050,2010,3
292020,2010,0
317052,2010,2
317057,2010,1
292010,2010,5
317060,2010,0
292000,2010,2
317065,2010,1
291995,2010,0
317070,2010,9
291992,2010,7
317075,2010,1
291990,2010,0
